,Mã trạm,Chỉ số AQI,Tên trạm,Url,Chất ô nhiễm chủ đạo,CO,Sương,Độ ẩm,NO2,O3,Áp suất,Bụi PM10,Bụi PM2.5,SO2,Nhiệt độ,Tốc độ gió,Thời gian cập nhật,Múi giờ,Latitude,Longitude
1875,13017,114.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,12.00,23.0,55.0,17.00,-,"1,009.00",65.00,114.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,21.02022,105.81232
1876,13020,60.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,7.00,23.0,55.0,16.00,-,"1,009.00",40.00,60.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,21.00577,105.74842
1877,13013,101.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,27.00,23.0,55.0,28.00,-,"1,009.00",75.00,101.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,21.05121,105.78232
1878,13014,108.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,9.00,23.0,55.0,-,-,"1,009.00",60.00,108.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,21.0072,105.83572
1879,13252,86.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,24.2,72.0,1.00,1.00,982.90,86.00,83.00,1.00,29.8,1.0,2021-09-30 13:00:00,+07:00,22.6782,106.245
1880,8767,156.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,27.0,94.0,-,-,"1,005.00",-,156.00,-,28.0,5.6,2021-10-08 08:00:00,+07:00,10.782978,106.700711
1881,8688,52.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,28.0,89.0,-,-,"1,008.00",-,52.00,-,30.0,4.1,2021-08-17 22:00:00,+07:00,21.0811211,105.8180306
1882,8641,114.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,18.0,45.0,6.00,14.70,"1,006.00",-,114.00,5.60,31.0,5.6,2021-10-08 09:00:00,+07:00,21.0215063,105.8188748
1883,13012,7.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,20.9,100.0,5.00,7.00,916.90,5.00,7.00,17.00,20.9,4.0,2021-10-08 09:00:00,+07:00,13.998599,107.996482
1884,12976,67.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,22.0,52.0,12.00,8.00,"1,000.00",53.00,67.00,9.00,33.0,3.0,2021-06-28 22:00:00,+07:00,21.1137452,105.9268934
1885,12958,88.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,3.00,18.0,45.0,6.00,22.00,"1,006.00",58.00,88.00,10.00,31.0,5.6,2021-10-08 09:00:00,+07:00,21.1232473,106.2883295
1886,13015,91.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29.00,22.0,74.0,37.00,-,"1,011.00",65.00,91.00,-,27.0,2.8,2021-04-27 15:00:00,+07:00,21.03982,105.84726
1887,13018,111.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,1.00,19.0,49.5,19.00,-,"1,006.00",65.00,111.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,20.98832,105.854897
1888,13019,94.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,5.00,19.0,49.5,26.00,-,"1,006.00",57.00,94.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,21.01994,105.77056
1889,13026,140.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,5.00,19.0,49.5,13.00,-,"1,006.00",81.00,140.00,-,30.5,4.1,2021-10-08 08:00:00,+07:00,21.01525,105.80013
1890,1584,37.0,"Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,3.00,24.0,88.0,11.00,21.00,"1,001.00",20.00,37.00,38.00,26.0,2.5,2021-10-08 09:00:00,+07:00,16.074,108.217
1891,13017,146.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,9.00,19.0,49.5,16.00,-,"1,006.00",90.00,146.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,21.02022,105.81232
1892,13020,133.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,6.00,19.0,49.5,20.00,-,"1,006.00",69.00,133.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,21.00577,105.74842
1893,13013,152.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,31.00,19.0,49.5,29.00,-,"1,006.00",101.00,152.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,21.05121,105.78232
1894,13014,132.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,9.00,19.0,49.5,-,-,"1,006.00",69.00,132.00,-,30.5,4.1,2021-10-08 07:00:00,+07:00,21.0072,105.83572
1895,13252,139.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,21.5,98.2,-,1.00,979.70,101.00,139.00,1.00,21.8,1.0,2021-10-08 09:00:00,+07:00,22.6782,106.245
1896,8767,17.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,25.0,76.5,-,-,"1,003.00",-,17.00,-,29.5,4.6,2021-10-08 16:00:00,+07:00,10.782978,106.700711
